GAME_ID,GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,PTS_home,PTS_away,AST_home,AST_away,REB_home,REB_away,FG_PCT_home,FG_PCT_away,FG3_PCT_home,FG3_PCT_away,FT_PCT_home,FT_PCT_away,IS_HOME,GSW_WIN,GSW_AST,GSW_REB,GSW_FG_PCT,GSW_FG3_PCT,GSW_FT_PCT
22200470,2022-12-21,1610612751,1610612744,143.0,113.0,42.0,32.0,32.0,36.0,0.643,0.494,0.636,0.364,0.875,0.76,False,False,32.0,36.0,0.494,0.364,0.76
22200463,2022-12-20,1610612752,1610612744,132.0,94.0,27.0,23.0,47.0,29.0,0.517,0.473,0.425,0.343,0.781,0.923,False,False,23.0,29.0,0.473,0.343,0.923
22200448,2022-12-18,1610612761,1610612744,110.0,126.0,21.0,31.0,43.0,41.0,0.421,0.531,0.394,0.462,0.773,0.846,False,True,31.0,41.0,0.531,0.462,0.846
22200432,2022-12-16,1610612755,1610612744,118.0,106.0,23.0,31.0,49.0,48.0,0.459,0.415,0.395,0.395,0.806,0.846,False,False,31.0,48.0,0.415,0.395,0.846
22200415,2022-12-14,1610612754,1610612744,125.0,119.0,30.0,27.0,34.0,46.0,0.506,0.465,0.41,0.424,0.84,0.862,False,False,27.0,46.0,0.465,0.424,0.862
22200410,2022-12-13,1610612749,1610612744,128.0,111.0,22.0,25.0,55.0,37.0,0.549,0.4,0.414,0.4,0.813,0.789,False,False,25.0,37.0,0.4,0.4,0.789
22200392,2022-12-10,1610612744,1610612738,123.0,107.0,26.0,17.0,53.0,39.0,0.511,0.437,0.333,0.3,0.8,0.731,True,True,26.0,53.0,0.511,0.333,0.8
22200372,2022-12-07,1610612762,1610612744,124.0,123.0,26.0,26.0,40.0,42.0,0.535,0.459,0.429,0.333,0.81,0.76,False,False,26.0,42.0,0.459,0.333,0.76
22200359,2022-12-05,1610612744,1610612754,104.0,112.0,26.0,26.0,47.0,47.0,0.404,0.478,0.295,0.385,0.789,0.611,True,False,26.0,47.0,0.404,0.295,0.789
22200342,2022-12-03,1610612744,1610612745,120.0,101.0,34.0,17.0,35.0,45.0,0.529,0.44,0.481,0.107,0.5,0.9,True,True,34.0,35.0,0.529,0.481,0.5
22200336,2022-12-02,1610612744,1610612741,119.0,111.0,32.0,28.0,50.0,44.0,0.483,0.462,0.4,0.333,0.652,0.667,True,True,32.0,50.0,0.483,0.4,0.652
